DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AW1,REM
06-08T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0040,1","99999,9,9,N","999999,9,N,1","+0151,1","+0083,1","99999,9",,SYN042AAXX  08121 02602 45/// /3604 10151 20083;
06-08T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,N,1","+0150,1","+0096,1","99999,9",,SYN042AAXX  08151 02602 45/// /3603 10150 20096;
06-08T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0020,1","99999,9,9,N","999999,9,N,1","+0134,1","+0091,1","99999,9",,SYN042AAXX  08181 02602 45/// /3602 10134 20091;
06-08T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0079,1","+0073,1","99999,9",,SYN042AAXX  08211 02602 45/// /0000 10079 20073;
06-09T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0076,1","+0068,1","99999,9",,SYN042AAXX  09001 02602 45/// /0000 10076 20068;
06-09T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0075,1","+0069,1","99999,9",,SYN042AAXX  09031 02602 45/// /2301 10075 20069;
06-09T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0030,1","99999,9,9,N","999999,9,N,1","+0111,1","+0058,1","99999,9",,SYN042AAXX  09061 02602 45/// /1803 10111 20058;
06-09T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0020,1","99999,9,9,N","999999,9,N,1","+0138,1","+0037,1","99999,9",,SYN042AAXX  09091 02602 45/// /2302 10138 20037;
06-09T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0020,1","99999,9,9,N","999999,9,N,1","+0144,1","+0030,1","99999,9",,SYN042AAXX  09121 02602 45/// /2302 10144 20030;
06-09T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0030,1","99999,9,9,N","999999,9,N,1","+0123,1","+0016,1","99999,9",,SYN042AAXX  09151 02602 45/// /2303 10123 20016;
